2335.000000;1994.743652 
2335.000000;1998.216064 
2335.000000;2001.038574 
2335.000000;2003.565186 
2335.000000;2005.931641 
2335.000000;2008.201538 
2335.000000;2010.408569 
2335.000000;2012.572510 
2335.000000;2014.705566 
2335.000000;2016.815796 
2335.000000;2018.908447 
2335.000000;2020.987549 
2335.000000;2023.055786 
2335.000000;2025.115234 
2335.000000;2027.167603 
2335.000000;2029.214111 
2335.000000;2031.255493 
2335.000000;2033.292725 
2335.000000;2035.326294 
2335.000000;2037.356812 
2335.000000;1994.743652 
2335.000000;1998.216064 
2335.000000;2001.038574 
2335.000000;2003.565186 
2335.000000;2005.931641 
2335.000000;2008.201538 
2335.000000;2010.408569 
2335.000000;2012.572510 
2335.000000;2014.705566 
2335.000000;2016.815796 
2335.000000;2018.908447 
2335.000000;2020.987549 
2335.000000;2023.055786 
2335.000000;2025.115234 
2335.000000;2027.167603 
2335.000000;2029.214111 
2335.000000;2031.255493 
2335.000000;2033.292725 
2335.000000;2035.326294 
2335.000000;2037.356812 
